Категория;Анекдот
Цитаты Рунета;ColorFlow: а кто-нибудь знает, сколько всего в мире языков программирования??bolk: Никто. Как это можно узнать? Есть очень малоизвестные языки, есть мёртвые.impwx: В компьютерном журнале примерно 2002 года было написано, что их более 2500. Можно представить, сколько их сейчас...bolk: Ничего не изменилось, их по-прежнему более 2500.
Старики и старухи        / Анекдоты про память;Один ученый занимался проблемой долгожительства.Услышал он, что где-то в горах живет 110 летний аксакал, обладающий феноменальной памятью. Поехал к нему и спрашивает:— Скажите, что вы ели 23 июня 1913 года?Тот отвечает:— Барашка ель, дарагой!Ученый удивился и уехал. Через десять лет опять приезжает в тот же аул, видит того, же старца в добром здравии и говорит ему:— Салям Алейкум, почтенный!А тот ему:— Жареного...!!
Бизнес и финансы;В магазине:— А эта шоколадка свежая?— Свежей некуда.— Так она изготовленная в декабре, а сейчас — октябрь?— Прикинь... из будущего!
Цитаты Рунета;codex: Млин работа стоит из-за таких новостей. Кивалов зашел в ЦИК, Кивалов зашел в суд. Прицепите к нему GPS!
Медицина и здоровье;— Доктор мне что-то в глаз попало!!!— Да? А где глаз?
Цитаты Рунета;Чем выше уровень развития, тем больше стирается разница в мужском и женском образе мышления.
Короткие анекдоты;— Привет! Что делаешь?Где делаешь? А мне сделаешь?!?!?!!!
Злободневно;"Теперь можно ввести в оборот новую метафору: ""ПиzдИт как Майя!""."
Цитаты Рунета;"Мамина пуделиха опять хочет любви. Самца ищу я. Как объяснить мужу, что номера ""Игорь — случка"", ""Матвей-молодой кабель"" и ""Артем-рыжий кобель"", это реально особачники?!"
Цитаты Рунета;City: сегодня на работе ноут посеялиPhlorid: взошел ? )
Цитаты Рунета;"MainTank: куда катитсо мир???прохожу седня мимо забора на котором уже 4 года красовалась надпись ""КОЛЯ-ЛОХ"" и вижу что на вместо привычной надписи красуется ""КОЛЯ-ЭМО бугога"""
Цитаты Рунета;"Работаю в магазине электронной техники. Подошел мужичок, спросил ""У Вас есть святая пара?"". Продал ему 7 метров патч-корда. Аминь."
Наркоманы и пьяницы;Алкоголь не помогает найти ответ, он помогает забыть вопрос.
Цитаты Рунета;CINOT:Работаю дизайнером. Надо было сделать пластиковые карточки для VIP-клиентов. Появилась идея, чтоб на карточке была личная подпись ГенДирека. Пошли к нему, попросили дать образец. Он расписался. Когда вернулся на рабочее место, понял, что у меня на руках пустой листок А4 с подписью генерального деректора: )))))
Цитаты Рунета;Q — Ехал не давно с дачи а жарко пестец ,в машине и кондей и вентелятор маленький такой а всё равно подыхаю! Вижу деревушка с речкой .Ну я остановился искупаться...Вернулся к машине , кто-то стекло разбил...Z — чё спиздили ??Q — ВЕНТЕЛЯТОР !!!!!
Цитаты Рунета;"casualmente: утром в метро перед SOS стоял пьяный молодой человек и просил о помощи: ""меня бросила любимая, помогите мне. эти кабинки тут просто так поставили что ли? помогите!"". Интересно, а вы ими пользуетесь?slothworx: сам не пользовался, но читал у кого-то в жж, что этот кто-то подошел и спросил ""в чем смысл жизни?"" оператор ответил: ""не в метро""!"
Цитаты Рунета;Chugden: я терь знаю почему в старом русском языке в конце слов стоял твёрдый накChugden: он рядом с энтером
Цитаты Рунета;Интересный факт — если положить в сортир одну из книг Ландавшеца, квантовую механику, например, то через месяц ее будет знать вся семья, включая бабушку и дедушку. Но никто, сцуко, не признаеццо!
Цитаты Рунета;спать 4 часа в сутки это аццкие наркотеги я моргать на работе боялсо в 17 неудачно моргнул — выморгнул тока в 18
Объявления и реклама      / Анекдоты про фото;Объявление:Продам папку с фотографиями. Папка — мой. Фотографии — мамкины.
Цитаты Рунета;chip: и вправду, труд сделал из обезьяны человека, а интернет сделал из человека обезьяну:)jasly: Интересно, а если труд в Интернете происходит... это же, получается, постоянная смена агрегатного состояния.
Цитаты Рунета;Chingiz sets mode #nnm +v y13Chingiz sets mode #nnm -v y13y13: этаy13: кончайChingiz sets mode #nnm +v y13Chingiz sets mode #nnm -v y13Chingiz: сейчас... ещё пару раз туда обратно и кончу..
Цитаты Рунета;ххх: Я тут подумал... Если есть доктора наук, то должны быть и пациенты наук
Авто и ГИБДД          / Анекдоты про директора          / Анекдоты про гаишников;Ректор университета, директор средней школы и директор специальной школы для трудновоспитуемых детей сидят дождливым вечером в кабаке и пьют пиво за дружеской беседой. Вспоминают студенческие времена.Ректор посмотрел на часы и говорит:— Уже поздно, ребята, мне пора домой.Он расплачивается и уходит.Через пару минут возвращается:— Ну, надо же! У меня гаишники отняли права. И ладно, выпью ещё пару кружек!Через час встаёт директор средней школы, прощается и уходит.Но и он через несколько минут возвращается:— И у меня права отняли эти инспекторы. Выпьем ещё по одной.Через четверть часа поднимается директор спецшколы и уходит.Двое оставшихся в кабаке напряжённо ожидают, что с ним произойдёт.И точно! Через пару минут директор спецшколы тоже возвращается.Двое его друзей понимающе ухмыляются, но он говорит:— Нет, нет! Это не то, о чём вы думаете! Вот ваши права. Я знаю, как нужно разговаривать с выпускниками моей школы!
Национальности;— Кум, что ты делаешь в моём погребе?— Тебя ищу.— А сало зачем съел?— А чтоб под ногами не мешалось.
Цитаты Рунета;как правильно макароны варить после того как я их в кипящую воду закинул???222. блин соли положи и мешай, как всплывут значит пельмени: )))))))))
Злободневно;Hовости экономики: Из петеpбуpгского зоопаpка вчеpа ночью сбежал голодный слон, пpотиснувшисьсквозь пpутья клетки.
Вовочка    / Анекдоты про Вовочку пошлые;Приходит Вовочка со школы.Папа смотрит дневник, а там двойка по зоологии. Он у Вовочки спрашивает:— Ты что, совсем уже дошел до ручки? Стал по зоологии двойки получать.— Да нет папа, просто было невозможно ответить правильно. Учительница принесла в школу птичку, спрятала её в руке, один хвостик торчал и спросила, что за птичка у неё. Ну я и не смог угадать.На следующей недели идет в классе урок зоологии, раздается стук в дверь, учительница просит войти. Дверь немного приоткрывается и в щелочку показывается член, после чего из-за двери голос:— А ну, граматейка хренова, угадай — чей папа пришёл?
Студенты;Аптека. Студент пpосит пpезеpватив.Совpеменная пpодавщица:— Вам завеpнуть или натянуть?
Цитаты Рунета;Chelpoint: не знаешь что можно сделать чтобы меня SSH быстрее авторизовал?KD: пароль быстрее вводить
Цитаты Рунета;"(S_X) обычно гопота стреляет сигареты, и если нет — пристает: )(S_X) а тут вышло наоборот.(S_X) я у гопоты стрельнул сигарету, у них не было, я пристал(S_X) вернее сказал чото вроде ""ну как так?""(S_X) а потом было больно вощем(@Colinz|work) т.е. они тебе популярно объяснили, что и у сигарет имеется свойство кончаться(S_X) более чем популярно(@Colinz|work) надо было их укорить за черезмерную убедительность(S_X) я одному тоже объяснил пару раз, но их больше было, соответственно и доводов я от них больше получил(S_X) вот теперь юзаю мазь от объяснений(@Colinz|work) весомых? или не особо осмысленных(S_X) ну один весомый в глаз, остальные пространные"
Цитаты Рунета;"У нас однажды из лабы пропала призма. Обычная из оптического стекла и довольно здоровая. Кому понадобилось, спрашиваете? Выяснилось — очень просто: одна мадмуазель делала лабу про определение коэффициента преломления, насчитала 2.41. Посмотрела в табличке — епрст! алмаз. ""Жизнь удалась"" решила девушка, сунула образец в сумочку и рванула на выход. Ни вес образца (полкило), ни форма огранки (треугольная призма) не заронили сомнений в душу горе-миллиардерши. С тех пор ходила поговорка: ""лучшие друзья дуры — это оптическое стекло K8""."
Разные;Сидят апостолы и играют в кости. К ним подходит Иисус:— А мне можно с вами поиграть?— Ну садись.Павел кидает — выпадает 11. Петр кидает — выпадает 12. Иисус кидает — выпадает 13.Петр замечает:— Без чудес, Господи, мы на деньги играем.
Цитаты Рунета;Chegoisto: Ехал сегодня домой в трамвае,спереди сидел бомж,спросил 8 рублей на проезд,я его послал, оказываеться это был кондуктор.
Цитаты Рунета;CheaterMaloy: МляПробелПересталРаботать:(((((CheaterMaloy: Дермо,ГребаныйМаздай!!!ZhuckOFF: А он тут при чем?: ))CheaterMaloy: Точно, он был не причём, просто клавиши стрелок нечайно тарелкой зажал, просто привык во всём маздай винить: ))
Евреи;Убивается вдова старого еврея:— Ой, вы знаете, ему так не везло всю его жи-и-изнь, ну вы знаете,ему всю жи-и-изнь так не везло, у него все было так плохо...И только когда он умер, — вы слышите — ему таки повезло: когдакопали могилу, нашли нефть.
Разные;У Абрамовича столько денег, что он в них прячет книги...
Цитаты Рунета;"Midnattens (21:02:06 23/03/2007)таки да? Перечисли все их книги, что ты прочлаEhidna (21:03:19 23/03/2007)Пикни на обочине, Град Обреченный, Обитаемый остров....Midnattens (21:03:50 23/03/2007)""Пикни на обочине"" — повелительное наклонение?"
Цитаты Рунета;"x0pkins: Прикинь.x0pkins: Седня бухи приходят.Skell: Чо?x0pkins: И говорят, хули такик большие счета за инет?Skell: А ты им?x0pkins: Показываю им почтовик и говорю, что спама приходит метра по 4-5 в одном письме.x0pkins: Угадай, чо ответили?x0pkins: Сказали: ""Напиши им, чтобы больше такого не присылали!"""
Пошлые анекдоты;— Любимый, где ты ТАК научился делать куннилингус? — Где, где...
Цитаты Рунета;Chaplin: Купил себе вчера дорогие наушники. Пришел домой, ОПА! — левое ухо намного тише правого играет. Менять отказались, даже не смотрели. Пол-дня звонил знакомым, возмущался. Вечером случайно наклонился влево, и из уха вода потекла! Позавчера на озере был...
Пошлые анекдоты;Любимая женщина должна всегда быть у мужчины на первом месте.А какое место у мужчины первое и главное?— Правильно!..
Цитаты Рунета;from: Блин, шеф храпитfrom: Спать мешает: (dym: Толкни его в бок.from: Идти лень )dym: А... Я думал, вы рядом лежите...
Цитаты Рунета;"YmersY: пестую на велике по тротуаруYmersY: смотрю идёт коза лет 25 и дочка её лет 5YmersY: я ж блин становлюсь в сторонку пропускаю ихато малые они под колёса лезутYmersY: эта сука проходит и таким гордым тоном. ""Нефик по тротуарам на велосипеде ездить""YmersY: я ей -""Не пизди""YmersY: она — ""Сам не пизди""YmersY: маленькая девочка ""Мама не пизди""YmersY: у меня истерика и я сваливаю оттуда нах"
Телефонные приколы / Анекдот про бассейн;Секция для курящих в pестоpане — это все равно что секция для ссущих в бассейне.
Цитаты Рунета;"Цитата из резюме на должность специалиста по ВЭД:""Личные качества: способность сохранять самообладание при работе с таможенными органами РФ""."
Цитаты Рунета;МАТ:Слушай мне срочно нужно чтобы ты ко мне приехала в эти выходные!!!!ууу:Ты по мне сильно соскучился!?
Цитаты Рунета;Chainik (17:56:23 30/04/2007)1899 год. Президент Франции Феликс Фор (Felix Faure) умер от инсульта во время минета в своём кабинете.Chainik (17:56:25 30/04/2007)во жестьhorn (17:56:43 30/04/2007)че жестьhorn (17:56:45 30/04/2007)нормально ))) весело погиб мужикhorn (17:56:49 30/04/2007)хотя стопhorn (17:56:53 30/04/2007)кто кому делал минет?Chainik (17:57:04 30/04/2007)вот я тож задумался
Власть и политика;Судьба чиновника — рискованный удел.Сегодня задница в помаде к юбилею.Неверный шаг — и оставляют не у дел.За миллиард какой-то дело клеют.
Цитаты Рунета;АдминВЛАСТЬ ПИНГВИНАМАдминСНЕСИ ВИНДУ И ЖДИ ДАЛЬНЕЙШИХ ПОРУЧЕНИЙ, РАБИван ПетровичПетр, я тебе сколько раз говорил, что наша фирма НЕ БУДЕТ переходить на Linux!Админблин: (
Цитаты Рунета;eghik: пиши исчо! Tloo-ZaRaZa: александра, сударыня, не увлекайтесь заморским диалектом!eghik: сударь, с вашего позволения, иностранные языки еще никому не мешали, а только помогали в жизни Не мешайте девушке самообразовыватьсяTloo-ZaRaZa: Ахуительно отмазалась!
Телефонные приколы;Если на вечеринке по поводу встречи Нового года дело доходит до торта, значит праздник не удался...
Цитаты Рунета;Заказали родителям парник на дачу, доставил суровый такой дядя. Папа с мамой умиляются на обретенное сокровище и тут папа спрашивает, дескать как долго его собирать? Суровый дядя отвечает: мы с напарником собираем за 6 часов, а вы (смерив взглядом родителей) — от двух дней и до развода!
Авиация и транспорт;Подходит тут ко мне мужичок невзрачный:— Вот...— Что вот?— Фонарик.— Я вижу, что фонарик, и что?— Не работает.— А я тут при чём?— Вы машинист?— Машинист...— Вооот. Заберите свой фонарь и верните мне деньги!— Кхм... Простите, а на каком основании?— Ну вы же машинист...— И что?— Как что? У вас в вагоне торгуют всякой мелочью...— А я с какого бока?— Вот я купил фонарик. На мой вопрос о гарантии продавец ответил, что он работает по лицензии Московского Метрополитена, и если товар некачественный, то в течение двух недель его можно вернуть и получить деньги, обратившись к любому машинисту поезда, на линии, где товар был куплен.Я в шоке!
Цитаты Рунета;b_r: перешлите мне рубль на вебмани!!!: ))))niggaz: Слыыыш пацан, вебмани есть? (с) ЛУ
Власть и политика  / Анекдоты про водителей;"На совещании с с активом партии «Единая Россия» и Общественным комитетомсторонников по вопросам развития транспортной системы страны президентРоссии Дмитрий Медведев сделал сенсационное признание.«Я иногда езжу по-тихому, об этом никто не знает, и я могу себяпочувствовать обычным водителем», – признался президент. На неожиданнопрозвучащий вопрос: ""Где и на чем?"" ответил: ""По Кремлю на комбайне сракеткой бадминтоновой"". Подумал и тихо добавил: ""Ночью""."
Спорт;"Вчера в поединке за право участвовать в матче с ЦСКА встретилисьитальянский ""Милан"" и английский ""Ливерпуль""."
Цитаты Рунета;"Liartar:только что пришла смс от ""МТС"" такого содержания:""Спасибо за Ваш выбор МТС в качестве оператора связи! В течении 12 дней Вам будет БЕСПЛАТНО предоставлена услуга ""Кредит"". Подробнее: 0890.""Сижу и охереваю. Потому что у меня ""Мегафон""."
Компьютеры и интернет;"Лаборатория Касперского выпустила совет по поводу 11 сентября:""В связи с возможными терактами в первую годовщину атаки на WTC 11 сентября рекомендуем вам в этот день не просыпаться или 10 сентября перевести свои часы на 12-е."""
Цитаты Рунета;"CashПриходил только что эстонец фотографироваться на визу....CashОтомстил ))) вырезал буквы ""Рибок"" его олимпийки и написал гордо ""Верните памятник""....он не заметил пока... даже руку пожал...посмотрим как на границе его пропустят )"
Евреи       / Анекдоты про футбол       / Анекдоты про директора       / Анекдоты про тренера;Приезжает еврейская футбольная команда на чемпионат мира. Привозят их в гостиницу заселяться, тренер подходит к директору и интересуется, сколько стоит проживание в этом заведении.Директор:— На первом этаже все комнаты стоят 60 долларов.На втором — 50 долларов.На третьем — 40 долларов.На четвертом — 30 долларов.Тренер с кислой репой разворачивается и собирается уходить.Директор:— Может, наши цены слишком высоки для вас?Тренер:— Да нет, просто гостиница очень низкая.
Цитаты Рунета;callidus77:Помница в нашей сетке монтажники подключали абонента. Пришли, воткнули сетевуху, а у него Фря и дров нету. Почесали головы и ушли. Чел через три недели наконец-то коннектится.Грят: «Долго ж ты искал дрова.»Он: «Я не искал. Я их сам написал.»
Власть и политика;Встретились как-то евро, бочка нефти и Путин.И всем немножко за шестьдесят...
Цитаты Рунета;Sisteroot: Знаете, что такое дилемма?Это то чувство, которое возникает, когда начинаешь смотреть последнюю серию третьего сезона (читай: развязку) и в это время врубается интернет, которого не было 5 дней.
Цитаты Рунета;У меня есть знакомая по фамилии Скорость. Её родители прикололись и назвали её Света.
Кино и ТВ;Чапаев рассказывает Петьке:— Сниться мне сегодня сон:— ...Плывем мы на корабле и вдруг пробоина! ну я ее затыкал, затыкал, а наутро проснулся — пол одеяла в ж@@е.
Цитаты Рунета;Stepan:наверное зря я поздравил этих немцев на собеседовании сегодня со вторым местом во второй мировой...
Цитаты Рунета;xxx (22:38:25 30/05/2008)когда на открытие позовешь??=) с нас девочки и пиво))))Jon (22:39:02 30/05/2008)Меня девочки не интересуют. Я занят только учёбой!Jon (22:41:03 30/05/2008)Я хороший приличный порядочный мальчик. Меня интересует только учёба и сессия. Учёба на первом месте. А все девочки будут после 6 курса!xxx (22:41:32 30/05/2008)мама Жени, пустите,пожалуйста, его обратно к компьютеру — я хочу с ним поговорить....
Цитаты Рунета;SobigДавай займемся виртуальным cекcом.Sweet_angelпошел в задницуSobigХорошее начало.
Авто и ГИБДД;Два мента описывают местоположения трупа:— Основная часть тела на дороге, голова на... Товарищ старший сержант, как пишется трАтуар или трОтуар?Старший сержант, почесав затылок, отодвигает голову ногой.— Пиши, все тело на дороге.
Ляпы;Работаю в центре искусственного оплодотворения... в графе профессия всегда пишу — аист.
Цитаты Рунета;"randoomИзменил шас в аське статус на инвисибл чтобы клиент не доставал, через 10 минут ПО АСЬКЕ же! приходит сообщение от клиента ""зайдите в icq, Антон""... этот человек непобедим"
Власть и политика;Весна 2012 года. После неудачных выборов в цирке с лилипутами сталвыступать злой карлик Вовопут
Цитаты Рунета;"Lina: Вот мне сейчас пришло от менеджера письмоLina: ""Хотелось бы постоянно отрахать изменяющихся партнеров!!!""Lina: Вот так — с восклицательными знаками!Lina: Я сразу ему отвечаю, что он, конечно, парень молодой, горячий, но мог бы и уважительнее к нашим стареньким партнерамLina: И только сейчас до меня дошло, что это он не ""т"" пропустил, а вместо ""ж"" — ""х"" написал"
Цитаты Рунета;Bzz: я сегодня нянька, тока уложила племяшку 4 летнюю))AleX: уложила одним ударом ноги?Bzz: нет, книжкойAleX: жестоко.
Цитаты Рунета;"Сегодня стирал ложкой защитный слой с интернет-карты. Заходит мать. Молча смотрит. Выходит, и кричит отцу: ""Иди поговори с сыном, он зачем-то ложки затачивает""."
Цитаты Рунета;{Fallen} как работаецо?{Troy} проблема в том, что я сцуко медленный и крепкий{Fallen} ??{Troy} не разгонюсь достаточно чтоб убить себя ап стену
Короткие анекдоты;— Страна у нас стабильно развивается!— Точно, как флаги на ветру...
Медицина и здоровье;Мужик заходит в кабинет логопеда:— Доктор, у меня жена голос сорвала, совсем говорить не может.— Прискорбно, конечно, голубчик, но я-то тут причём?— А я просто впервые за много лет смог пару слов вставить — такоказывается, я немного сепелявлю...
Цитаты Рунета;dum (23:59:04 8/03/2007У тебя еще минута праздника.Mylechka (23:59:42 8/03/2007)все напоминаешь да?))dum (00:01:24 9/03/2007)Все. Конец праздника. Готовь еду, женщина!
Цитаты Рунета;"А че не так с его скриптом? o_O2: А ты его видел??)) Там каменты сначала на русском, потом на английском, потом пошли на немецком, периодически приговаривая ""Links 2,3,4""!!!"
Цитаты Рунета;— Вчера свет отключали, делал бутерброды в темнотеНоутбук и мобила разрядились, фонарик не нашёл, но вспомнил про фотик со вспышкойТеперь у меня 130 кадров пошагового приготовления бутербродов
Авто и ГИБДД;— Вчера ОМОН ворвался в Институт Склифосовского и со всей дури отметелил дубинками нескольких забинтованных пациентов...— А их-то за что ?????— А нефиг себя белыми лентами обматывать в день инаугурации Путина!
Сказочные;"Едет Илья Муромец по дороге, перед ним развилка, на развилке камень, на камне надпись: ""БЕЗ ВАРИАНТОВ!"""
Цитаты Рунета / Анекдоты про телефон;Ничто так не выдает принадлежность человека к низшим слоям населения, как способность хорошо разбираться в дорогих телефонах, часах и автомобилях...
Цитаты Рунета;BulletDoGчо как отмечать ДР планируешь?Амрэ (00:33:33 15/04/2007)да наверное на даче если выгоритBulletDoGна пепелище чтоли?
Цитаты Рунета;"Anuta:я уже все перепробовала, а кот все равно безобразничает. А самое главное, что он прекрасно понимает, КУДА надо ходить, и когда поблизости кто-нибудь есть, то ведет себя как порядочный. Была последняя надежда на наполнитель... так он его ЕСТ!!!Smoke:у меня кот тоже хорошо понимал куда надо ходить и что за ""под столом"" его накостыляют, если спалят. а вот то, что его по-любому спалят по-моему не догадывался"
Цитаты Рунета;[DAN] Народ как их порнухи звук вырезать?[null] =)[DAN] Ой из видео[DAN] Просто музыка прикольная[null] музыка....: )
Цитаты Рунета     / Анекдоты про футболистов;Buka:Реши задачку:Футболистам привезли 740 мячей. А всего 68 футболистов. Какое минимальное число мячей надо привезти футболистам еще чтобы каждому досталось поровну мячей?Nu-hin:щаNu-hin:8Buka:как решал?Nu-hin:#include &lt
Телефонные приколы;Стадии развития нашего общества: Феодализм – капитализм – социализм — идиотизм…tomаtov.com
Цитаты Рунета;o DanilYch: pinka: зачем руки то резать?o pinka: Pred4: кровь люблю и физическая боль ненадолго убирает духовнуюo DanilYch: pinka: а еще нажраться можноo DanilYch: pinka: и тоже легче становитцоo DanilYch: pinka: методы предков» pinka: DanilYch: нетт...это здоровью сильно вредит
Власть и политика;Однажды Сталин вызвал к себе Ягоду и поинтересовался:что пишет Горький.— Ничего, — ответил тот. — Он прикован к постели.— Грубо, — сказал Сталин и добавил: — Раскуйте!
Цитаты Рунета;RxB: Информатика, вопросы из министерства образования. Мозголомные писецRxB: Сейчас пример сделаюRxB: Как называется компьютер в сети?А) СерверБ) ДоменВ) ХостГ) IP-адресRxB: вот ответь
Разные          / Анекдоты про собак;Мужик в гости к приятелю приходит, видит тот с собакой в шахматы играет — Б%я, какая у тебя собака умная — Какая умная — счет 3: 1 в мою пользу
Цитаты Рунета;Александр Македонский на то и великий, что после слов Диогена «Отойди, ты заслоняешь мне солнце» не стал катить на него бочку.
Цитаты Рунета;zzz:так что ты там насчет водки говорил?yyy:Поздно. Уже всю выпил.zzz:так я и не претендовалyyy:Во бля, а я давился.
Цитаты Рунета;katik (14:07:33 5/05/2007)ну вот, наконец-то вышла из ванной....Вовка (14:14:07 5/05/2007)Ты чистая и красивая? )katik (14:14:16 5/05/2007)угуkatik (14:14:23 5/05/2007)ну по крайней мере чистая
Цитаты Рунета;Вчера видела человека в наушниках. Он думал, что пукает тихо...
Власть и политика;Интересно, а кто капитан на той галере, где пашет Путин?
Цитаты Рунета;brte: пришл к одному знакомому, попить пивка, посмотреть чего-нибудь... пока он отошел, решил глянуть че етсь в компе: на рабочем столе заинтересовал файл клава.txt — открыл.../* даровау меня клава полетелаа это заготовленная фраза на такие случаи)ща перезагружусь */с умом, видимо, отнесся
Разные;"— А вы пробовали крикнуть своей жене через весь зал: ""Алла, я — в бар!"", находясь в Тель-Авивском аэропорту Бен Гурион?!"
Национальности        / Анекдоты про Украину;Всплывает где-то в штатах украинская подводная лодка. Ну, янки начинают над ними ржать, мол допотопная такая, даже плавать нормально не может и тут один из американцев между делом спрашивает:— А она 5 узлов сделает?Хохол:— Сделает— А 10?— Сделает!— А 15?— Если с нас ласты не послетают, то сделает.
Цитаты Рунета;xxx: Отопление в домах до сих пор еще не включили, зато во дворе уже месяц не вывозят спиленные деревья.xxx: Они как бы намекают
Цитаты Рунета;chva: А сколько раз в год ты меняешь масло?shekiller: У меня волга. Я его не меняю, Я его доливаю.
Цитаты Рунета;"ххх:слух поменяй уже пароль на своей странице, а то затрахали уже сообщения типа ""пошли смс на номер 5555, это мой сюрприз для тебя, если не пошлешь то обижусь""...ууу:ок...поменяю, так а ты посылал?ххх:нет конечно.ууу:я обиделся..."
Цитаты Рунета;Мысль об увольнении пришла мне в голову именно в тот момент, когда начальник на полном серьезе отругал меня за то, что я пришел на работу в выходной (!) день в джинсах.
Цитаты Рунета;Brighty: какое у тя настроение?)Fourique: адекватноеBrighty: а бывает вообще неадекватное? это как?Fourique: бываетFourique: это когда дела пиздец, а настроение — заебись
Цитаты Рунета;ZZZа вааше отношения дизайнера и одмина оч хорошо показаны в мультике про домовенка-кузю:кузя касматый чорт стучит по батарее и просит помаши и тутже из какойто дыры вылазит небритый мафаняXXXогаа)) а потом кузя дизайнер открывает сваю валшебную шкатулку и показывает бабе у которой живет красивые сказки.
Цитаты Рунета     / Анекдоты про арбуз;"VVВчера после работы подхожу к развалу с намерением купить арбуз. Там два чебурека торгуют, один мне такой— неужели тот съел уже?— ??— Ну тот арбузТут вспоминаю, что вчера вечером купил эпических размеров арбуз и съел от него всего пару кусков. С благодарностью отваливаю. Сзади слышу возмущенный голос второго ""тьфу блят, маркэтолог хэров"""
Злободневно;Еврею нельзя работать в субботу. Мусульманину — в пятницу. Но дальшевсех пошли русские...
Дети;Магазин, почти обед. Стоит молодая мама с дочкой лет четырёх. Мама перечисляет продукты, которые ей нужны:— Дайте мне два килограмма сахара и три больших майонеза.Дочка, жалобным голосочком:— И хлебуска позалуйста...Мама, с удивлением:— А зачем тебе хлебушек, солнышко?— А что, мы только сладкий маонез жлать будем?
Знаменитости;Возвращаются с голливудской пьянки Железный Арни с Джеки Ченом. Оба хорошо поддатые. Чен:— Арни, смотри, вон доллар металлический лежит!Арни поднял, домой приходит, жена ему:— Что, снова с этим узкоглазым бухал?— А как ты догадалась?— Потому что каждый раз, когда ты с ним квасишь, то домой крышки от канализационных люков притаскиваешь!
Цитаты Рунета         / Анекдоты про футбол;"ххх: слушай, предлагаю создать футбольную команду и назвать ее Гавноууу: ну.... мы не так уж плохо и играем =ххх: да не. Ты представь, что потом на всю страну будут вещать: ""Не пропустите сегодня на канале Спорт: Спартак — Гавно"""
Прикольные истории          / Анекдоты про соседей;Начальница с соседнего отдела зашла после окончания рабочего дня, выключаю комп, переобуваюсь, она там с моими коллегами лясы топчет... Снимаю галстук (в лом в них на работу ходить, у меня в шкафу целая коллекция на работе) Подкалывает: Уж раздевайся до конца! Устал, очень (зае@@ли ) говорю: Это вам в стрип-клуб надо, а я его жене несу. Обтекла...
Цитаты Рунета;BratTOOK: Дожили блять!BratTOOK: седня иду по улице спрашиваю у чела сколько времени?BratTOOK: Тот мне в ответ: первое правило Проекта Разгром — не задавать вопросовBratTOOK: я в ахуе переспрашиваю, а он мне: второе правило Проекта Разгром никогда никому не задавать вопросовBratTOOK: поворачивается и УХОДИТ
